2021-12-13 11:09:30 INFO::Writing function arguments to log file
2021-12-13 11:09:30 DEBUG::Function arguments
2021-12-13 11:09:30 DEBUG::Output folder: T3_community-level/altitude_maaslin_output
2021-12-13 11:09:30 DEBUG::Min Abundance: 0.000000
2021-12-13 11:09:30 DEBUG::Min Prevalence: 0.100000
2021-12-13 11:09:30 DEBUG::Normalization: NONE
2021-12-13 11:09:30 DEBUG::Transform: LOG
2021-12-13 11:09:30 DEBUG::Analysis method: LM
2021-12-13 11:09:30 DEBUG::Max significance: 0.250000
2021-12-13 11:09:30 DEBUG::Random effects:
2021-12-13 11:09:30 DEBUG::Fixed effects: Spec.subspecies,Approximate.altitude
2021-12-13 11:09:30 DEBUG::Correction method: BH
2021-12-13 11:09:30 DEBUG::Standardize: TRUE
2021-12-13 11:09:30 DEBUG::Cores: 1
2021-12-13 11:09:30 INFO::Verifying options selected are valid
2021-12-13 11:09:30 INFO::Determining format of input files
2021-12-13 11:09:30 INFO::Input format is data samples as rows and metadata samples as rows
2021-12-13 11:09:30 DEBUG::A total of 46 samples were found in both the data and metadata
2021-12-13 11:09:30 DEBUG::Reordering data/metadata to use same sample ordering
2021-12-13 11:09:33 INFO::Fitting model to feature number 207, X2587855
2021-12-13 11:09:33 INFO::Fitting model to feature number 208, X1968541
2021-12-13 11:09:33 INFO::Fitting model to feature number 209, X1402135
2021-12-13 11:09:33 INFO::Fitting model to feature number 210, X1917485
2021-12-13 11:09:33 INFO::Fitting model to feature number 211, X60137
2021-12-13 11:09:33 INFO::Fitting model to feature number 212, X42444
2021-12-13 11:09:33 INFO::Fitting model to feature number 213, X292414
2021-12-13 11:09:33 INFO::Fitting model to feature number 214, X2587853
2021-12-13 11:09:33 INFO::Fitting model to feature number 215, X2293862
2021-12-13 11:09:33 INFO::Fitting model to feature number 216, X89184
2021-12-13 11:09:33 INFO::Fitting model to feature number 217, X1208324
2021-12-13 11:09:33 INFO::Fitting model to feature number 218, X875171
2021-12-13 11:09:33 INFO::Fitting model to feature number 219, X2009329
2021-12-13 11:09:33 INFO::Fitting model to feature number 220, X379347
2021-12-13 11:09:33 INFO::Fitting model to feature number 221, X2508307
2021-12-13 11:09:33 INFO::Fitting model to feature number 222, X2508306
2021-12-13 11:09:33 INFO::Fitting model to feature number 223, X1396826
2021-12-13 11:09:33 INFO::Fitting model to feature number 224, X133924
2021-12-13 11:09:33 INFO::Fitting model to feature number 225, X92945
2021-12-13 11:09:33 INFO::Fitting model to feature number 226, X92947
2021-12-13 11:09:33 INFO::Fitting model to feature number 227, X540747
2021-12-13 11:09:33 INFO::Fitting model to feature number 228, X215813
2021-12-13 11:09:33 INFO::Fitting model to feature number 229, X74033
2021-12-13 11:09:33 INFO::Fitting model to feature number 230, X2588299
2021-12-13 11:09:33 INFO::Fitting model to feature number 231, X561184
2021-12-13 11:09:33 INFO::Fitting model to feature number 232, X2077182
2021-12-13 11:09:33 INFO::Fitting model to feature number 233, X450378
2021-12-13 11:09:33 INFO::Fitting model to feature number 234, X2182384
2021-12-13 11:09:33 INFO::Fitting model to feature number 235, X1892855
2021-12-13 11:09:33 INFO::Fitting model to feature number 236, X284016
2021-12-13 11:09:33 INFO::Fitting model to feature number 237, X785
2021-12-13 11:09:33 INFO::Fitting model to feature number 238, X2735434
2021-12-13 11:09:33 INFO::Fitting model to feature number 239, X2735433
2021-12-13 11:09:33 INFO::Fitting model to feature number 240, X2547399
2021-12-13 11:09:33 INFO::Fitting model to feature number 241, X75105
2021-12-13 11:09:33 INFO::Fitting model to feature number 242, X148447
2021-12-13 11:09:33 INFO::Fitting model to feature number 243, X948107
2021-12-13 11:09:33 INFO::Fitting model to feature number 244, X2026199
2021-12-13 11:09:33 INFO::Fitting model to feature number 245, X169430
2021-12-13 11:09:33 INFO::Fitting model to feature number 246, X252970
2021-12-13 11:09:33 INFO::Fitting model to feature number 247, X2814653
2021-12-13 11:09:33 INFO::Fitting model to feature number 248, X2705547
2021-12-13 11:09:33 INFO::Fitting model to feature number 249, X2705548
2021-12-13 11:09:33 INFO::Fitting model to feature number 250, X758793
2021-12-13 11:09:33 INFO::Fitting model to feature number 251, X412963
2021-12-13 11:09:33 INFO::Fitting model to feature number 252, X285
2021-12-13 11:09:34 INFO::Fitting model to feature number 253, X2714925
2021-12-13 11:09:34 INFO::Fitting model to feature number 254, X2792224
2021-12-13 11:09:34 INFO::Fitting model to feature number 255, X2714924
2021-12-13 11:09:34 INFO::Fitting model to feature number 256, X179636
2021-12-13 11:09:34 INFO::Fitting model to feature number 257, X434010
2021-12-13 11:09:34 INFO::Fitting model to feature number 258, X2651974
2021-12-13 11:09:34 INFO::Fitting model to feature number 259, X520
2021-12-13 11:09:34 INFO::Fitting model to feature number 260, X35814
2021-12-13 11:09:34 INFO::Fitting model to feature number 261, X511
2021-12-13 11:09:34 INFO::Fitting model to feature number 262, X279113
2021-12-13 11:09:34 INFO::Fitting model to feature number 263, X1658665
2021-12-13 11:09:34 INFO::Fitting model to feature number 264, X34103
2021-12-13 11:09:34 INFO::Fitting model to feature number 265, X105560
2021-12-13 11:09:34 INFO::Fitting model to feature number 266, X487
2021-12-13 11:09:34 INFO::Fitting model to feature number 267, X63
